Sample,ermB,ermC,strB,sul1,incW repA,int1,Temperature
OT0S1R1G097,1.4735E-05,0.000135445,0.002730366,0.00073939,0.001531623,0.001926075,52
OT0S1R2G098,1.22798E-05,8.82349E-05,0.003369702,0.000593617,0.001894693,0.002227374,52
OT0S1R3G099,9.90808E-06,8.39072E-05,0.004143715,0.000339797,0.002482728,0.001954825,52
OT0S1R4G100,1.37014E-05,0.000156385,0.004944016,0.000302037,0.002912171,0.002580753,52
OT0S1R5G101,1.91662E-05,4.83052E-05,0.00014229,0.000379545,0.000163637,0.00062551,52
OT0S1R6G102,4.31601E-05,0.000844359,0.005311583,0.000516029,0.005321836,0.006175794,52
OT0S1R7G103,1.98571E-05,0.000136936,0.010628908,0.001678574,0.009815197,0.01072878,52
OT0S1R8G104,1.97076E-05,0.000134747,0.00833315,0.000667876,0.007731057,0.007143466,52
OT0S1R9G105,1.34969E-05,9.48894E-05,0.00041047,0.000607943,0.001655222,0.002088495,52
OT0S1R10G106,8.14455E-05,0.00010981,0.002450517,0.002560294,0.001104938,0.002871104,52
OT0S2R1G109,1.02144E-05,8.10266E-05,0.000971407,0.000437564,0.000726037,0.001511977,52
OT0S2R2G110,4.90025E-06,2.46904E-05,0.000446885,0.000282946,0.000379383,0.000727279,52
OT0S2R3G111,7.99402E-06,5.21055E-05,0.008137363,0.00048155,0.006046531,0.004895246,52
OT0S2R4G112,1.00804E-05,5.33628E-05,0.001106068,0.000168936,0.000653787,0.000960169,52
OT0S2R5G113,3.24828E-05,0.000245987,0.003117862,0.000829292,0.002216849,0.003703418,52
OT0S2R6G114,7.08749E-06,6.61547E-05,0.000647308,0.000549981,0.000714189,0.001251035,52
OT0S2R7G115,9.02807E-06,7.24457E-05,0.000431407,0.000290245,0.000594578,0.000697473,52
OT0S2R8G116,2.14049E-05,0.000192419,0.00069101,0.000418957,0.000904405,0.001110839,52
OT0S2R9G117,9.08815E-06,8.24503E-05,0.000532137,0.000342127,0.000722206,0.000913529,52
OT0S2R10G118,4.36339E-08,0.001432358,0.00142657,0.000901168,0.001755773,0.001959456,52
LT1S1R1G121,0.002007044,0.00066216,0.028011469,0.004855731,1.09938E-05,0.001262687,44
LT1S1R2G122,0.000233292,0.000172863,0.000218152,0.002115732,2.60447E-05,0.005557412,44
LT1S1R3G123,0.002415284,0.001256282,0.004639979,0.004057614,2.11534E-05,0.000958592,44
LT1S1R4G124,0.000586532,0.001579911,0.00117281,0.001632285,0.000184078,0.001513338,44
LT1S1R5G125,0.00461531,0.00156762,0.128720748,0.001436384,2.87274E-06,0.000138628,44
LT1S1R6G126,9.23623E-05,0.000137045,0.000573937,0.002816982,0.000127159,0.006690591,44
LT1S1R7G127,0.000150169,0.000121258,0.000656574,0.004705573,0.000254264,0.001578562,44
LT1S1R8G128,0.003128757,0.001617311,0.002590499,0.01159932,7.96795E-05,0.001691388,44
LT1S1R9G129,3.39383E-05,0.000145636,0.000175441,0.002241569,3.63248E-05,0.003113326,44
LT1S1R10G130,0.000128339,0.000635743,0.000750479,0.004438673,3.27745E-05,0.00105713,44
LT1S2R1G133,8.552E-05,0.001088639,0.002585053,0.02208829,2.68257E-05,0.000625894,44
LT1S2R2G134,0.006078746,0.004493877,0.008403224,0.004134603,9.95928E-06,0.000610559,44
LT1S2R3G135,0.003693653,0.002074408,0.00210955,0.008398241,1.24395E-05,0.00140153,44
LT1S2R4G136,3.14764E-05,0.000244704,8.22617E-05,0.001683373,1.64984E-05,0.000379307,44
LT1S2R5G137,0.004363416,0.009727146,0.001019771,0.08398374,8.82155E-07,0.075740345,44
LT1S2R6G138,0.00129549,0.00060882,0.019470046,0.003023704,1.07E-05,0.002056073,44
LT1S2R7G139,0.003231117,0.001843589,0.002817182,0.004303307,1.15718E-05,0.00033751,44
LT1S2R8G140,0.000156588,0.001071483,0.004169,0.002493793,1.93727E-08,0.001000692,44
LT1S2R9G141,0.001648585,0.001886658,0.000680485,0.005333798,4.00077E-05,0.003359647,44
LT1S2R10G143,0.001173767,0.001001123,0.000345341,0.004011548,3.73936E-05,0.005216488,44
OT1S1R1G145,0.000644804,0.007563036,0.003367514,9.29459E-05,9.19326E-05,0.010558871,44
OT1S1R2G146,0.005326486,0.115677572,0.004495807,5.76549E-05,0.000103772,0.002584215,44
OT1S1R3G147,0.000594273,0.008858039,0.0021389,4.90698E-05,4.85348E-05,0.006770714,44
OT1S1R4G148,0.000756707,0.009976405,0.004931548,7.799E-05,7.71396E-05,0.006468621,44
OT1S1R5G149,0.001439656,0.019784784,0.008119255,8.61022E-05,3.22059E-05,0.001554144,44
OT1S1R6G150,0.000658754,0.010663576,0.003331402,8.95676E-05,8.8591E-05,0.035210014,44
OT1S1R7G151,0.000265051,0.002804981,0.001440011,3.92663E-05,3.88382E-05,0.003842332,44
OT1S1R8G152,0.000208735,0.001545306,0.001056125,4.85008E-05,4.7972E-05,0.004105001,44
OT1S1R9G153,0.000256455,0.001212776,0.001112538,5.35944E-05,5.30101E-05,0.010122109,44
OT1S1R10G154,0.000311125,0.001780824,0.001376832,6.01802E-05,5.9524E-05,0.012701233,44
OT1S2R1G157,0.000432813,0.00628264,0.002317475,5.49504E-05,5.43512E-05,0.004355368,44
OT1S2R2G158,0.000147244,0.005059827,0.004061318,4.87476E-05,4.82161E-05,0.002955914,44
OT1S2R3G159,0.0002374,0.003026918,0.000792944,3.86298E-05,3.82086E-05,0.004304862,44
OT1S2R4G160,0.000333146,0.003957066,0.001061502,3.11612E-05,3.08215E-05,0.0007086,44
OT1S2R5G161,0.000741576,0.017757921,0.007843708,4.96316E-05,4.90904E-05,0.003716774,44
OT1S2R6G162,0.000871687,0.012292706,0.008450044,5.11527E-05,5.0595E-05,0.00972219,44
OT1S2R7G163,0.000171312,0.002722322,0.001236405,2.92846E-05,2.89653E-05,0.000411956,44
OT1S2R8G164,0.000126563,0.002353353,0.001353032,2.45057E-05,2.42385E-05,0.001104088,44
OT1S2R9G165,0.000422722,0.002608534,0.001274872,6.52927E-05,6.45808E-05,0.005423182,44
OT1S2R10G166,0.000755232,0.011937573,0.004281077,0.000182142,0.000180156,0.004203366,44
OT2S1R1G169,3.67389E-05,0.000497188,0.007372983,3.22838E-08,8.07538E-05,0.000563302,42.5
OT2S1R2G170,5.86437E-05,0.000487637,0.017481516,5.15322E-08,0.000125154,0.000896351,42.5
OT2S1R3G171,2.86017E-05,0.000155476,0.013036455,2.88153E-05,6.57731E-05,0.002921475,42.5
OT2S1R4G172,8.3498E-05,0.000977778,0.016827032,3.76422E-08,9.30149E-05,0.000497706,42.5
OT2S1R5G173,2.77663E-05,0.000323462,0.000485562,2.43992E-08,6.37314E-05,0.005097212,42.5
OT2S1R6G174,8.87078E-05,0.003894107,0.015011287,3.83998E-08,9.24677E-05,0.001183508,42.5
OT2S1R7G175,2.83062E-05,0.006221591,0.016544297,2.85176E-05,6.49523E-05,0.000889322,42.5
OT2S1R8G176,4.48574E-05,0.000405638,0.020673499,4.51925E-05,0.000107049,0.000468595,42.5
OT2S1R9G177,4.33605E-05,0.000275233,0.001408451,3.81024E-08,9.69781E-05,0.000576594,42.5
OT2S1R10G178,4.65637E-05,0.001931191,0.008600139,4.69115E-05,0.000100702,0.00028548,42.5
OT2S2R1G181,9.60145E-05,0.00063445,0.005078474,4.993E-05,0.000120982,0.000274384,42.5
OT2S2R2G182,4.47433E-05,0.00059174,0.004395221,4.50775E-05,0.00010784,0.000191854,42.5
OT2S2R3G183,0.000130704,0.001015954,0.028025475,2.52769E-05,8.16958E-05,0.000173285,42.5
OT2S2R4G184,9.51334E-05,0.001133019,0.004138582,3.07266E-08,8.43428E-05,0.004009591,42.5
OT2S2R5G185,6.05243E-08,0.000162999,0.007123949,6.05243E-08,0.000155428,0.000663344,42.5
OT2S2R6G186,8.6104E-05,0.001022069,0.003832273,0.00010807,9.24785E-05,0.000397231,42.5
OT2S2R7G187,0.000124031,0.001140205,0.001968732,3.8727E-05,9.79392E-05,0.000342291,42.5
OT2S2R8G188,7.16119E-05,0.001026751,0.002470347,7.21468E-05,0.000180111,0.000357417,42.5
OT2S2R9G189,2.95327E-05,0.000443189,0.00185628,2.97533E-05,7.00025E-05,0.000433108,42.5
OT2S2R10G190,4.11095E-05,0.000854166,0.001260899,4.14166E-05,9.61918E-05,0.000390801,42.5
OT3S1R1G193,0.003191858,0.000989515,9.84969E-05,8.52049E-08,9.66224E-05,0.000787896,36.5
OT3S1R2G194,0.000345781,0.002290645,9.50401E-08,9.50401E-08,9.50401E-08,0.000666735,36.5
OT3S1R3G195,0.000837089,0.000352419,5.82291E-08,6.67597E-05,6.60318E-05,0.000494009,36.5
OT3S1R4G196,0.002189014,0.001194593,4.59579E-05,4.55802E-05,8.99918E-05,0.000632392,36.5
OT3S1R5G197,0.000482905,0.000273518,2.94783E-05,2.9236E-05,2.89173E-05,0.00031116,36.5
OT3S1R6G198,0.000744623,0.000360126,4.26287E-05,4.22784E-05,4.18174E-05,0.000576219,36.5
OT3S1R7G199,0.003907163,0.000675172,5.31366E-05,0.000110861,0.000106685,0.001520797,36.5
OT3S1R8G200,0.001134108,0.000209111,4.16035E-08,4.16035E-08,4.71783E-05,0.000671856,36.5
OT3S1R9G201,0.006561734,0.019123624,9.01319E-05,8.93912E-05,8.84166E-05,0.001824179,36.5
OT3S1R10G202,0.001074344,0.000957681,3.65665E-08,4.19235E-05,4.14664E-05,0.000650662,36.5
OT3S2R1G205,0.013401914,0.00083521,0.001074899,3.973E-05,0.000108393,0.001695222,36.5
OT3S2R2G206,0.000416404,0.001719465,3.20407E-08,3.20407E-08,3.20407E-08,0.000283268,36.5
OT3S2R3G207,0.050588893,0.002152683,0.007310269,0.000126836,0.000262324,0.007486885,36.5
OT3S2R4G208,0.000501071,0.000457623,8.3414E-08,8.3414E-08,8.3414E-08,0.000686662,36.5
OT3S2R5G209,0.000728641,0.000468754,2.04258E-05,2.02579E-05,2.00371E-05,0.00027632,36.5
OT3S2R6G210,0.00293143,0.000348163,5.30351E-05,4.58782E-08,5.20258E-05,0.000501401,36.5
OT3S2R7G211,0.002413461,0.000474947,8.16219E-05,7.06072E-08,8.00685E-05,0.000926678,36.5
OT3S2R8G212,0.00049795,0.000225373,2.99447E-05,2.96987E-05,2.93749E-05,0.000324954,36.5
OT3S2R9G213,0.000951021,0.002452976,4.76792E-08,5.46642E-05,5.40682E-05,0.000620359,36.5
OT3S2R10G214,0.001657216,0.000543399,3.50804E-08,4.02197E-05,3.97812E-05,0.000667017,36.5
MG217,0.010353153,0.023896484,0.001488937,0.000811877,2.50975E-05,0.001139992,39.5
MG218,0.010238056,0.029668242,0.001914457,0.001024667,2.32577E-05,0.000677018,39.5
MG219,0.012152407,0.05405495,0.001695572,0.001046964,3.52553E-05,0.000878238,39.5
MG220,0.012093016,0.042260304,0.001901484,0.000921597,3.20369E-05,0.00089181,39.5
MG221,0.010813307,0.037586587,0.00149141,0.000919215,2.5919E-05,0.000831164,39.5
MG222,0.008324477,0.022690701,0.001996382,0.000929479,4.93346E-05,0.001291594,39.5
MG223,0.01064757,0.037380719,0.002363254,0.001393454,0.000124188,0.001260069,39.5
MG224,0.00778086,0.030029333,0.002213571,0.001003224,3.82806E-05,0.00085915,39.5
MG225,0.012455932,0.059811003,0.002073604,0.00232958,0.000221106,0.003682472,39.5
MG226,0.01214058,0.047193735,0.002613081,0.001471531,7.84279E-05,0.001539277,39.5