Sample,NumSeq
OT0S1R10G106,62
OT2S2R7G187,2191
OT3S2R12G216,4214
OT1S1R1G145,8799
OT2S1R7G175,13764
OT1S1R2G146,19239
OT2S1R4G172,19387
OT0S2R8G116,19659
OT1S2R1G157,19971
MG222,20440
OT3S2R7G211,20781
OT2S2R11G191,21520
OT3S2R10G214,21637
OT3S1R3G195,21722
OT2S2R10G190,21739
OT2S2R9G189,21846
OT1S2R4G160,22041
OT3S2R9G213,22309
OT0S2R6G114,22324
OT1S2R8G164,22399
OT0S2R12G120,22507
LT1S1R9G129,22612
OT0S1R1G097,22848
OT1S1R3G147,23007
OT2S2R3G183,23067
OT3S1R6G198,23205
OT2S2R12G192,23266
LT1S1R8G128,23399
OT3S1R2G194,23414
OT3S2R11G215,23456
OT2S1R5G173,23510
OT2S2R8G188,23529
MG220,23913
OT3S1R8G200,24155
OT1S1R12G156,24260
OT1S1R10G154,24492
MG223,24664
OT3S1R5G197,24805
OT1S2R7G163,24812
OT2S1R2G170,24882
OT3S1R7G199,24887
OT3S1R4G196,25038
OT3S1R9G201,25082
OT2S2R6G186,25105
OT1S2R3G159,25385
MG218,25776
OT1S2R2G158,25873
OT0S1R7G103,25885
OT2S2R2G182,26385
OT3S2R5G209,26793
OT1S1R5G149,27078
OT0S2R2G110,27150
OT2S1R3G171,27167
OT0S2R9G117,27364
OT2S1R12G180,27511
LT1S1R2G122,27520
OT0S2R10G118,27521
OT3S1R11G203,27562
OT2S2R1G181,27756
OT0S1R4G100,27915
LT1S1R12G132,27921
OT2S2R5G185,27924
LT1S1R3G123,28011
MG219,28118
OT3S2R4G208,28414
OT1S2R11G167,28565
LT1S1R6G126,28601
OT1S1R6G150,28683
OT0S1R2G098,28686
OT0S2R4G112,28776
OT3S2R2G206,28780
MG221,28828
OT0S2R3G111,28958
OT1S1R11G155,28982
OT2S1R10G178,29024
OT3S1R10G202,29127
OT3S2R8G212,29130
OT3S2R6G210,29151
OT0S1R9G105,29327
OT0S2R7G115,29334
OT2S2R4G184,29451
OT0S1R12G108,29908
OT0S1R3G099,30005
OT1S2R5G161,30218
OT1S2R10G166,30353
LT1S1R4G124,30694
OT0S1R5G101,30760
LT1S1R7G127,30952
LT1S2R7G139,30952
LT1S1R5G125,30973
OT0S1R8G104,31060
OT3S1R1G193,31060
OT1S2R9G165,31569
OT0S2R1G109,31627
LT1S2R11G142,31827
OT1S1R8G152,31829
OT2S1R8G176,31834
OT1S1R7G151,31872
OT1S2R6G162,32250
OT1S1R4G148,32596
LT1S2R9G141,32602
LT1S1R1G121,32661
OT3S2R1G205,32706
OT0S2R11G119,32839
OT1S1R9G153,32894
LT1S2R8G140,33512
LT1S2R4G136,33777
OT2S1R1G169,33941
OT0S1R11G107,34136
OT3S1R12G204,34509
MG224,34602
OT1S2R12G168,34946
LT1S1R11G131,35705
LT1S1R10G130,36521
MG225,36546
MG226,36611
OT0S2R5G113,36749
LT1S2R6G138,36917
OT3S2R3G207,37692
LT1S2R3G135,37732
OT2S1R6G174,37741
MG217,39171
OT0S1R6G102,39641
LT1S2R5G137,39693
LT1S2R12G144,39792
OT2S1R11G179,40348
OT2S1R9G177,41905
LT1S2R1G133,43336
LT1S2R10G143,44681
LT1S2R2G134,46207