OTU,log2FoldChange,pval,Sample,Phylum,Class,Order,Family,Genus,,,,,,OTU,
973,0.420580842,0.99999992,2/17/17 Soil,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,,,,,,Otu,973
1028,0.027119445,0.99999992,2/17/17 Soil,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae_unclassified,,,,,,Otu,1028
1030,-0.098330068,0.99999992,2/17/17 Soil,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,,,,,,Otu,1030
1086,0.027116953,0.99999992,2/17/17 Soil,Firmicutes,Bacilli,Bacillales,Bacillales_unclassified,Bacillales_unclassified,,,,,,Otu,1086
1144,-0.098334103,0.99999992,2/17/17 Soil,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,,,,,,Otu,1144
1148,0.027119712,0.99999992,2/17/17 Soil,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,,,,,,Otu,1148
1149,0.027118478,0.99999992,2/17/17 Soil,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,,,,,,Otu,1149
1178,0.027115503,0.99999992,2/17/17 Soil,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,,,,,,Otu,1178
1192,0.158274858,0.99999992,2/17/17 Soil,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Oligella,,,,,,Otu,1192
1200,0.02711569,0.99999992,2/17/17 Soil,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,,,,,,Otu,1200
1202,0.027120349,0.99999992,2/17/17 Soil,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,,,,,,Otu,1202
1230,0.027119291,0.99999992,2/17/17 Soil,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,,,,,,Otu,1230
1260,1.340269972,0.498142676,2/17/17 Soil,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,,,,,,Otu,1260
1306,0.027119176,0.99999992,2/17/17 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Clostridiales_Incertae_Sedis_XI_unclassified,,,,,,Otu,1306
1309,0.300836675,0.99999992,2/17/17 Soil,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcaceae_unclassified,,,,,,Otu,1309
1326,0.027120647,0.99999992,2/17/17 Soil,Synergistetes,Synergistia,Synergistales,Synergistaceae,Synergistaceae_unclassified,,,,,,Otu,1326
1384,0.158274569,0.99999992,2/17/17 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified,,,,,,Otu,1384
1403,0.027116794,0.99999992,2/17/17 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified,,,,,,Otu,1403
1421,-0.098331207,0.99999992,2/17/17 Soil,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,,,,,,Otu,1421
1435,-0.092627735,0.99999992,2/17/17 Soil,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,,,,,,Otu,1435
1440,0.02712219,0.99999992,2/17/17 Soil,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Petrimonas,,,,,,Otu,1440
1446,-0.098329819,0.99999992,2/17/17 Soil,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,,,,,,Otu,1446
1458,0.027118424,0.99999992,2/17/17 Soil,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,,,,,Otu,1458
1500,2.176423363,0.151893027,2/17/17 Soil,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,,,,,,Otu,1500
1545,0.027116492,0.99999992,2/17/17 Soil,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,,,,,,Otu,1545
1554,0.306539414,NA,2/17/17 Soil,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,,,,,Otu,1554
1596,0.027122041,0.99999992,2/17/17 Soil,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,,,,,,Otu,1596
1619,0.027117811,0.99999992,2/17/17 Soil,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonadaceae_unclassified,,,,,,Otu,1619
1626,0.027121871,0.99999992,2/17/17 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Tissierella,,,,,,Otu,1626
1635,0.049682937,0.99999992,2/17/17 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto,,,,,,Otu,1635
1647,0.02711925,0.99999992,2/17/17 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified,,,,,,Otu,1647
1654,0.027121185,0.99999992,2/17/17 Soil,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Facklamia,,,,,,Otu,1654
1708,0.027119999,0.99999992,2/17/17 Soil,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,,,,,,Otu,1708
1838,0.027121018,NA,2/17/17 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified,,,,,,Otu,1838
1851,0.027120387,0.99999992,2/17/17 Soil,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,,,,,,Otu,1851
1887,0.027120916,NA,2/17/17 Soil,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,,,,,,Otu,1887
1922,0.03852836,0.99999992,2/17/17 Soil,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,,,,,,Otu,1922
2,0.08994041,0.972038578,3/22/17 Soil,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,,,,,,Otu,2
5,-1.1805489,0.999999992,3/22/17 Soil,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Petrimonas,,,,,,Otu,5
7,-0.827965556,0.999999992,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Clostridiales_Incertae_Sedis_XI_unclassified,,,,,,Otu,7
11,0.088918869,0.972038578,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto,,,,,,Otu,11
21,3.361586577,0.024552724,3/22/17 Soil,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,,,,,,Otu,21
39,-0.076199436,0.999999992,3/22/17 Soil,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,,,,,,Otu,39
51,0.551060685,0.885040237,3/22/17 Soil,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,,,,,,Otu,51
60,3.435809649,0.02963126,3/22/17 Soil,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonadaceae_unclassified,,,,,,Otu,60
75,2.48157458,0.206227927,3/22/17 Soil,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,Otu,75
86,0.300157989,0.955597522,3/22/17 Soil,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,,,,,,Otu,86
94,-0.305518973,0.999999992,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto,,,,,,Otu,94
102,-0.105160247,0.999999992,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,,,,,,Otu,102
123,1.655351597,0.448092287,3/22/17 Soil,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,,,,,,Otu,123
138,22.27016517,1.06E-53,3/22/17 Soil,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,Otu,138
149,0.67295135,0.812697133,3/22/17 Soil,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Phascolarctobacterium,,,,,,Otu,149
166,-0.452552594,0.999999992,3/22/17 Soil,Firmicutes,Bacilli,Bacillales,Bacillales_unclassified,Bacillales_unclassified,,,,,,Otu,166
179,0.049257617,0.972038578,3/22/17 Soil,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,,,,,,Otu,179
187,0.300155497,0.967452065,3/22/17 Soil,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,,,,,Otu,187
193,0.300162028,0.946690374,3/22/17 Soil,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,,,Otu,193
202,-0.622696635,0.999999992,3/22/17 Soil,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,,,,,,Otu,202
213,0.369975864,0.841377183,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,,,,,,Otu,213
214,-0.493797564,0.999999992,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto,,,,,,Otu,214
219,0.049248989,0.972038578,3/22/17 Soil,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinospirillum,,,,,,Otu,219
236,1.38419752,0.408323986,3/22/17 Soil,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,,,,,Otu,236
254,0.049244561,0.972038578,3/22/17 Soil,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,,,,,,Otu,254
286,0.425610564,0.911695311,3/22/17 Soil,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Syntrophaceticus,,,,,,Otu,286
299,0.425609429,0.919167092,3/22/17 Soil,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,,,,,,Otu,299
308,-0.20164674,0.999999992,3/22/17 Soil,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonadaceae_unclassified,,,,,,Otu,308
325,0.049253248,0.972038578,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,,,,,,Otu,325
327,0.049257602,0.972038578,3/22/17 Soil,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonadaceae_unclassified,,,,,,Otu,327
332,0.425612326,0.919167092,3/22/17 Soil,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Anaerocella,,,,,,Otu,332
344,-0.076193451,0.999999992,3/22/17 Soil,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,,,,,,Otu,344
346,0.174706766,0.972038578,3/22/17 Soil,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,,,,,,Otu,346
397,0.049260148,0.972038578,3/22/17 Soil,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcaceae_unclassified,,,,,,Otu,397
399,0.174709933,0.972038578,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified,,,,,,Otu,399
426,0.174709491,0.972038578,3/22/17 Soil,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,,,,,,Otu,426
431,0.04925022,0.972038578,3/22/17 Soil,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Marinilabiliaceae_unclassified,,,,,,Otu,431
448,0.049252142,0.972038578,3/22/17 Soil,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,,,,,,Otu,448
457,0.174705489,0.972038578,3/22/17 Soil,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Atopostipes,,,,,,Otu,457
461,-0.076192029,0.999999992,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Sporanaerobacter,,,,,,Otu,461
475,0.300160918,0.95728277,3/22/17 Soil,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,,,,,,Otu,475
498,-0.403024708,0.999999992,3/22/17 Soil,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,,,,,,Otu,498
503,0.049255192,0.972038578,3/22/17 Soil,Synergistetes,Synergistia,Synergistales,Synergistaceae,Aminobacterium,,,,,,Otu,503
542,0.049260617,0.972038578,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,,,,,,Otu,542
547,0.300161446,0.948204345,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified,,,,,,Otu,547
556,-0.955458768,0.999999992,3/22/17 Soil,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,,,,,Otu,556
591,-0.201646203,0.999999992,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Anaerococcus,,,,,,Otu,591
592,0.174710078,0.972038578,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,,,,,,Otu,592
593,0.049249163,0.972038578,3/22/17 Soil,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Sphaerochaeta,,,,,,Otu,593
596,0.676520127,0.820998406,3/22/17 Soil,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas,,,,,,Otu,596
612,0.551063219,0.89520378,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Clostridiales_Incertae_Sedis_XI_unclassified,,,,,,Otu,612
673,0.049258747,0.972038578,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,,,,,,Otu,673
707,-0.076194069,0.999999992,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,,,,,,Otu,707
710,0.049258028,0.972038578,3/22/17 Soil,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,,,Otu,710
748,0.049253431,0.972038578,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Clostridiales_Incertae_Sedis_XI_unclassified,,,,,,Otu,748
768,0.049258083,0.972038578,3/22/17 Soil,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Ignatzschineria,,,,,,Otu,768
776,0.049248173,0.972038578,3/22/17 Soil,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,,,,,,Otu,776
800,0.300164838,0.948204345,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,,,,,,Otu,800
805,0.801970001,0.76128515,3/22/17 Soil,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,,,,Otu,805
826,0.049254445,0.972038578,3/22/17 Soil,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,,,Otu,826
842,0.049255542,0.972038578,3/22/17 Soil,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,,,,,,Otu,842
868,0.04924787,0.972038578,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,,,,,,Otu,868
878,0.049256707,0.972038578,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,,,,,,Otu,878
883,0.551064762,0.885040237,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,,,,,,Otu,883
918,-0.577996986,0.999999992,3/22/17 Soil,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,,,,,,Otu,918
956,0.55106517,0.876026772,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,,,,,,Otu,956
958,0.174712164,0.972038578,3/22/17 Soil,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonellaceae_unclassified,,,,,,Otu,958
973,0.049255871,0.972038578,3/22/17 Soil,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,,,,,,Otu,973
1028,0.049256448,0.972038578,3/22/17 Soil,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae_unclassified,,,,,,Otu,1028
1030,1.301565968,0.581437413,3/22/17 Soil,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,,,,,,Otu,1030
1086,0.049253952,0.972038578,3/22/17 Soil,Firmicutes,Bacilli,Bacillales,Bacillales_unclassified,Bacillales_unclassified,,,,,,Otu,1086
1144,-0.076197114,0.999999992,3/22/17 Soil,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,,,,,,Otu,1144
1148,0.049256717,0.972038578,3/22/17 Soil,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,,,,,,Otu,1148
1149,0.04925548,0.972038578,3/22/17 Soil,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,,,,,,Otu,1149
1178,0.676510489,0.89521609,3/22/17 Soil,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,,,,,,Otu,1178
1192,0.049257862,0.972038578,3/22/17 Soil,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Oligella,,,,,,Otu,1192
1200,0.049252687,0.972038578,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,,,,,,Otu,1200
1202,0.049257354,0.972038578,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,,,,,,Otu,1202
1230,0.049256294,0.972038578,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,,,,,,Otu,1230
1260,0.67651778,0.81691754,3/22/17 Soil,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,,,,,,Otu,1260
1306,0.04925618,0.972038578,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Clostridiales_Incertae_Sedis_XI_unclassified,,,,,,Otu,1306
1309,0.425615971,0.910059372,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcaceae_unclassified,,,,,,Otu,1309
1326,0.04925765,0.972038578,3/22/17 Soil,Synergistetes,Synergistia,Synergistales,Synergistaceae,Synergistaceae_unclassified,,,,,,Otu,1326
1384,0.17470923,0.972038578,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified,,,,,,Otu,1384
1403,0.04925379,0.972038578,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified,,,,,,Otu,1403
1421,-0.076194207,0.999999992,3/22/17 Soil,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,,,,,,Otu,1421
1435,-0.201644729,0.999999992,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,,,,,,Otu,1435
1440,0.049259198,0.972038578,3/22/17 Soil,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Petrimonas,,,,,,Otu,1440
1446,-0.07619282,0.999999992,3/22/17 Soil,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,,,,,,Otu,1446
1458,0.049255422,0.972038578,3/22/17 Soil,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,,,,,Otu,1458
1500,0.425614621,0.899101434,3/22/17 Soil,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,,,,,,Otu,1500
1545,0.551059887,0.922584937,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,,,,,,Otu,1545
1554,0.801971307,0.82062047,3/22/17 Soil,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,,,,,Otu,1554
1596,0.049259047,0.972038578,3/22/17 Soil,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,,,,,,Otu,1596
1619,0.049254806,0.972038578,3/22/17 Soil,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonadaceae_unclassified,,,,,,Otu,1619
1626,0.049258877,0.972038578,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Tissierella,,,,,,Otu,1626
1635,0.67595218,0.758493606,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto,,,,,,Otu,1635
1647,0.174707876,0.972038578,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified,,,,,,Otu,1647
1654,0.174709826,0.972038578,3/22/17 Soil,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Facklamia,,,,,,Otu,1654
1708,0.049257002,0.972038578,3/22/17 Soil,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,,,,,,Otu,1708
1838,0.04925802,0.972038578,3/22/17 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified,,,,,,Otu,1838
1851,0.049257389,0.972038578,3/22/17 Soil,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,,,,,,Otu,1851
1887,0.300161193,0.972038578,3/22/17 Soil,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,,,,,,Otu,1887
1922,0.049260671,0.972038578,3/22/17 Soil,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,,,,,,Otu,1922